stateId,year,hdd
DC,1989,4437
DC,1988,4459
DC,1987,4164
DC,1986,4199
DC,1985,3957
DC,1984,4052
DC,1983,4086
DC,1982,4082
DC,1981,3828
DC,1980,3941
DC,1979,3914
DC,1978,4178
DC,1977,4040
DC,1976,4144
DC,1975,3644
DC,1974,3648
DC,1973,3706
DC,1972,4182
DC,1971,4050
DC,1970,4356
DC,1969,4354
DC,1968,4227
DC,1967,4339
DC,1966,4470
DC,1965,4415
DC,1964,4198
DC,1963,4564
DC,1962,4656
DC,1961,4477
DC,1960,4609
DE,2022,4481
DE,2021,4164
DE,2020,3999
DE,2019,4347
DE,2018,4472
DE,2017,4034
DE,2016,4236
DE,2015,4480
DE,2014,4911
DE,2013,4578
DE,2012,3850
DE,2011,4252
DE,2010,4584
DE,2009,4608
DE,2008,4407
DE,2007,4477
DE,2006,4006
DE,2005,4746
DE,2004,4589
DE,2003,4940
DE,2002,4246
DE,2001,4349
DE,2000,4735
DE,1999,4373
DE,1998,3958
DE,1997,4708
DE,1996,5006
DE,1995,4808
DE,1994,4801
DE,1993,4894
DE,1992,4876
DE,1991,4227
DE,1990,3944
DE,1989,5091
DE,1988,5171
DE,1987,4901
DE,1986,4750
DE,1985,4559
DE,1984,4849
DE,1983,4832
DE,1982,4918
DE,1981,5146
DE,1980,5176
DE,1979,4990
DE,1978,5422
DE,1977,4942
DE,1976,5077
DE,1975,4614
DE,1974,4693
DE,1973,4575
DE,1972,5060
DE,1971,4850
DE,1970,5149
DE,1969,5232
DE,1968,5115
DE,1967,5349
DE,1966,5273
DE,1965,5152
DE,1964,4916
DE,1963,5267
DE,1962,5294
DE,1961,5170
DE,1960,5209
FL,2022,526
FL,2021,505
FL,2020,493
FL,2019,497
FL,2018,593
FL,2017,451
FL,2016,561
FL,2015,484
FL,2014,722
FL,2013,546
FL,2012,547
FL,2011,615
FL,2010,1279
FL,2009,706
FL,2008,635
FL,2007,559
FL,2006,607
FL,2005,706
FL,2004,711
