period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2002,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,32509,Billion Btu,True
2002,REPRB,Renewable energy production,WA,Washington,356598,Billion Btu,True
2002,REPRB,Renewable energy production,US,United States,3770941,Billion Btu,True
2002,RETCB,Renewable energy total consumption,US,United States,3766155,Billion Btu,True
2002,RETCB,Renewable energy total consumption,WA,Washington,362363,Billion Btu,True
2002,RETCB,Renewable energy total consumption,CA,California,355371,Billion Btu,True
2001,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,55686,Billion Btu,True
2001,RERCB,Renewable energy sources consumed by the residential sector,CA,California,52116,Billion Btu,True
2001,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,33385,Billion Btu,True
2001,RERCB,Renewable energy sources consumed by the residential sector,US,United States,438657,Billion Btu,True
2001,REPRB,Renewable energy production,US,United States,3518114,Billion Btu,True
2001,RETCB,Renewable energy total consumption,US,United States,3516309,Billion Btu,True
2001,RETCB,Renewable energy total consumption,CA,California,325466,Billion Btu,True
2000,RERCB,Renewable energy sources consumed by the residential sector,CA,California,54412,Billion Btu,True
2000,RERCB,Renewable energy sources consumed by the residential sector,US,United States,486069,Billion Btu,True
2000,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,35824,Billion Btu,True
2000,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,83132,Billion Btu,True
2000,REPRB,Renewable energy production,WA,Washington,363955,Billion Btu,True
2000,REPRB,Renewable energy production,US,United States,4093068,Billion Btu,True
2000,RETCB,Renewable energy total consumption,US,United States,4095636,Billion Btu,True
2000,RETCB,Renewable energy total consumption,WA,Washington,366576,Billion Btu,True
2000,RETCB,Renewable energy total consumption,CA,California,370066,Billion Btu,True
2000,REPRB,Renewable energy production,CA,California,364952,Billion Btu,True
1999,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,77245,Billion Btu,True
1999,RERCB,Renewable energy sources consumed by the residential sector,CA,California,52678,Billion Btu,True
1999,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,36436,Billion Btu,True
1999,RERCB,Renewable energy sources consumed by the residential sector,US,United States,458662,Billion Btu,True
1999,REPRB,Renewable energy production,WA,Washington,420929,Billion Btu,True
1999,REPRB,Renewable energy production,US,United States,4203566,Billion Btu,True
1999,RETCB,Renewable energy total consumption,US,United States,4201726,Billion Btu,True
1999,RETCB,Renewable energy total consumption,WA,Washington,423236,Billion Btu,True
1999,RETCB,Renewable energy total consumption,CA,California,372132,Billion Btu,True
1999,REPRB,Renewable energy production,CA,California,367625,Billion Btu,True
1998,RERCB,Renewable energy sources consumed by the residential sector,US,United States,449277,Billion Btu,True
1998,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,75271,Billion Btu,True
1998,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,36917,Billion Btu,True
1998,RERCB,Renewable energy sources consumed by the residential sector,CA,California,52502,Billion Btu,True
1998,REPRB,Renewable energy production,WA,Washington,360447,Billion Btu,True
1998,REPRB,Renewable energy production,US,United States,4174168,Billion Btu,True
1998,RETCB,Renewable energy total consumption,US,United States,4172729,Billion Btu,True
1998,RETCB,Renewable energy total consumption,WA,Washington,363145,Billion Btu,True
1998,RETCB,Renewable energy total consumption,CA,California,392331,Billion Btu,True
1998,REPRB,Renewable energy production,CA,California,387102,Billion Btu,True
1997,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,84615,Billion Btu,True
1997,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,37927,Billion Btu,True
1997,RERCB,Renewable energy sources consumed by the residential sector,US,United States,497351,Billion Btu,True
1997,RERCB,Renewable energy sources consumed by the residential sector,CA,California,57150,Billion Btu,True
1997,REPRB,Renewable energy production,WA,Washington,450520,Billion Btu,True
1997,REPRB,Renewable energy production,US,United States,4463583,Billion Btu,True
1997,RETCB,Renewable energy total consumption,US,United States,4460893,Billion Btu,True
1997,RETCB,Renewable energy total consumption,WA,Washington,452482,Billion Btu,True
1997,RETCB,Renewable energy total consumption,CA,California,376474,Billion Btu,True
1997,REPRB,Renewable energy production,CA,California,369373,Billion Btu,True
1996,RERCB,Renewable energy sources consumed by the residential sector,CA,California,78781,Billion Btu,True
1996,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,41832,Billion Btu,True
1996,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,54929,Billion Btu,True
1996,RERCB,Renewable energy sources consumed by the residential sector,US,United States,610132,Billion Btu,True
1996,REPRB,Renewable energy production,WA,Washington,426607,Billion Btu,True
1996,REPRB,Renewable energy production,US,United States,4479991,Billion Btu,True
1996,RETCB,Renewable energy total consumption,US,United States,4481498,Billion Btu,True
1996,RETCB,Renewable energy total consumption,WA,Washington,427620,Billion Btu,True
1996,RETCB,Renewable energy total consumption,CA,California,404112,Billion Btu,True
1996,REPRB,Renewable energy production,CA,California,396901,Billion Btu,True
1995,RERCB,Renewable energy sources consumed by the residential sector,US,United States,589212,Billion Btu,True
1995,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,41044,Billion Btu,True
1995,RERCB,Renewable energy sources consumed by the residential sector,CA,California,76661,Billion Btu,True
1995,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,52852,Billion Btu,True
1995,REPRB,Renewable energy production,WA,Washington,372764,Billion Btu,True
1995,REPRB,Renewable energy production,US,United States,4294584,Billion Btu,True
1995,RETCB,Renewable energy total consumption,US,United States,4296642,Billion Btu,True
1995,RETCB,Renewable energy total consumption,WA,Washington,374986,Billion Btu,True
1995,RETCB,Renewable energy total consumption,CA,California,419049,Billion Btu,True
1995,REPRB,Renewable energy production,CA,California,410708,Billion Btu,True
1994,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,52797,Billion Btu,True
1994,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,40418,Billion Btu,True
1994,RERCB,Renewable energy sources consumed by the residential sector,CA,California,76603,Billion Btu,True
1994,RERCB,Renewable energy sources consumed by the residential sector,US,United States,587873,Billion Btu,True
1994,REPRB,Renewable energy production,US,United States,4056472,Billion Btu,True
1994,RETCB,Renewable energy total consumption,US,United States,4056473,Billion Btu,True
1994,RETCB,Renewable energy total consumption,WA,Washington,328652,Billion Btu,True
1994,RETCB,Renewable energy total consumption,CA,California,355772,Billion Btu,True
1994,REPRB,Renewable energy production,CA,California,353389,Billion Btu,True
1993,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,40191,Billion Btu,True
1993,RERCB,Renewable energy sources consumed by the residential sector,CA,California,79413,Billion Btu,True
1993,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,55544,Billion Btu,True
1993,RERCB,Renewable energy sources consumed by the residential sector,US,United States,614590,Billion Btu,True
1993,REPRB,Renewable energy production,US,United States,4005043,Billion Btu,True
1993,RETCB,Renewable energy total consumption,US,United States,4004770,Billion Btu,True
1993,RETCB,Renewable energy total consumption,WA,Washington,333704,Billion Btu,True
1993,RETCB,Renewable energy total consumption,CA,California,416004,Billion Btu,True
1993,REPRB,Renewable energy production,CA,California,414397,Billion Btu,True
1992,REPRB,Renewable energy production,CA,California,377325,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,US,United States,704745,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,42192,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,CA,California,99842,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,OH,Ohio,34749,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,56707,Billion Btu,True
1992,RERCB,Renewable energy sources consumed by the residential sector,IL,Illinois,35750,Billion Btu,True
1992,REPRB,Renewable energy production,US,United States,3931743,Billion Btu,True
1992,RETCB,Renewable energy total consumption,US,United States,3931743,Billion Btu,True
1992,RETCB,Renewable energy total consumption,WA,Washington,333174,Billion Btu,True
1992,RETCB,Renewable energy total consumption,CA,California,377508,Billion Btu,True
1991,REPRB,Renewable energy production,CA,California,371447,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,54136,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,OH,Ohio,33107,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,CA,California,95513,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,US,United States,672295,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,40206,Billion Btu,True
1991,RERCB,Renewable energy sources consumed by the residential sector,IL,Illinois,34062,Billion Btu,True
1991,REPRB,Renewable energy production,WA,Washington,379939,Billion Btu,True
1991,REPRB,Renewable energy production,US,United States,3901435,Billion Btu,True
1991,RETCB,Renewable energy total consumption,US,United States,3901433,Billion Btu,True
1991,RETCB,Renewable energy total consumption,WA,Washington,380353,Billion Btu,True
1991,RETCB,Renewable energy total consumption,CA,California,376041,Billion Btu,True
1990,REPRB,Renewable energy production,CA,California,379479,Billion Btu,True
